Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Location Details,dataset,Dryness
32,Miyun Reservoir catchment,15800,506.2,BF,RD,16,-9.7,SG,HM,"Ma et al., 2010",1362,41,117,27,1956,1983,AL,1,0,"name not found, it is Kejie watershed
in the eastern Himalayas. Change citation to: https://doi.org/10.1016/j.jhydrol.2010.06.010",NA,original Zhang et al data,2.690636112208613
33,Mores Creek,1033,850,CF,SD,-12,6,OB,HM,"VanShaar et al., 2002",1701,43,-115,7,1986,1993,GE,1,0,NA,NA,original Zhang et al data,2.001176470588235
34,Murray River,13000,1078,MF,RD,1.3,-0.9,NA,HM,"Van Dijk et al., 2007",1727,-35.87,144.31,12,1988,2000,GE,1,0,NA,NA,original Zhang et al data,1.6020408163265305
35,Murrumbidgee,15000,847,MF,RD,2.2,-2.2,NA,HM,"Van Dijk et al., 2007",1880,-34.89,146.59,13,1988,2001,GE,1,0,NA,NA,original Zhang et al data,2.219598583234947
36,Nam Pong catchment,12100,1050,BF,RD,-53,0,OB,HM,"Wilk et al., 2001",1404,19.55,105.06,18,1970,1988,GE,1,0,NA,NA,original Zhang et al data,1.3371428571428572
37,Negro River,582064,2680,BF,RD,-3,0,SG,HM,"Coe et al., 2009",1275,-8.12,-77.98,1,2000,2000,GE,1,0,NA,NA,original Zhang et al data,0.47574626865671643
38,Puget Sound basin,30000,1800,MF,RD,-10,6.8,SG,HM,"Cuo et al., 2009",1003,47.69,-122.06,119,1883,2002,AL,1,0,NA,NA,original Zhang et al data,0.5572222222222222
39,Purus River,333480,2300,BF,RD,-3,1,SG,HM,"Lima et al, 2014",1221,-7.65,-66.36,51,1950,2001,AL,1,0,NA,NA,original Zhang et al data,0.5308695652173913
40,Roda de Ter,1386,938,BF,RD,5,-12,OB,HM,"Gallart et al., 2011",1336,42.06,3,14,1979,1993,GE,1,0,NA,NA,original Zhang et al data,1.4243070362473347
41,Sanchuan,4123,462.8,BF,RD,33,-27,OB,EA,"Zhang et al. , 2008a",1386,37,111,43,1957,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006659,NA,original Zhang et al data,2.994814174589455
42,Shiwang,2327,536.6,BF,RD,42,-19.1,OB,EA,"Zhang et al. , 2008a",1396,35,110,41,1959,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006660,NA,original Zhang et al data,2.601565411852404
43,Solim�es #10,1858883,2200,BF,RD,-6,1,SG,HM,"Coe et al., 2009",1260,-2.64,-66.32,1,2000,2000,GE,1,0,cound not find location differences btw #5,NA,original Zhang et al data,0.5727272727272728
44,Solim�es #5,867257,2200,BF,RD,-8,2,SG,HM,"Coe et al., 2009",1260,-2.64,-66.32,1,2000,2000,GE,1,0,cound not find location differences btw #10,NA,original Zhang et al data,0.5727272727272728
45,Suomo basin,2536,800,BF,SD,-9.5,20.8,OB,HM,"Chen et al., 2005",858,32.13,102.53,1,1995,1995,GE,1,0,NA,NA,original Zhang et al data,1.0725
46,Talarn,1905,1003,MF,RD,12.6,-25.7,SG,EA,"Buendia et al., 2016a",1310,42.4,1.13,44,1965,2009,GE,1,0,other rivers,NA,original Zhang et al data,1.3060817547357926
47,Tapajet River,285072,2100,BF,RD,-20,4,SG,HM,"Coe et al., 2009",1335,-5.29,-56.93,1,2000,2000,GE,1,0,"Wrong name, Tapaj�s river",NA,original Zhang et al data,0.6357142857142857
48,The upper reach of the Weihe River,106500,591.46,BF,RD,16.9,-18,OB,EA,"Zhao et al., 2013",1321,34.83,108.83,50,1958,2008,AL,1,0,"Wrong spelled name, it is Wei River basin",NA,original Zhang et al data,2.233456193149156
49,Tocantins River,189048,2000,BF,RD,-58,26,SG,SH,"Costa et al., 2003",1601,-13,-48,35,1960,1995,AL,1,0,NA,NA,original Zhang et al data,0.8005
50,Upper Tacuarembo,2097,1300,MF,RD,26,-22,OB,SH,"Silveira and Alonso,2009",1602,-31.53,-55.68,18,1975,1993,PL,1,0,Manuel Diaz Basin,NA,original Zhang et al data,1.2323076923076923
51,Upper Zagunao River,2528,1072,CF,RD,-15.5,5,MD,SH,"Zhang et al., 2012",872,32,103,26,1970,1996,AL,1,0,Situated on the Upper Minjiang River of Yangtze River basin,NA,original Zhang et al data,0.8134328358208955
52,Upstream Heihe river basin,11145,600,CF,RD,12,8.6,MD,HM,"Wu et al.,2015",832,38,100,30,1980,2010,AL,1,0,NA,NA,original Zhang et al data,1.3866666666666667
53,Victoria River,16000,829,MF,RD,0.7,-0.7,NA,HM,"van Dijk et al., 2007",1258,-37.15,147.3,14,1988,2002,GE,1,0,NA,NA,original Zhang et al data,1.517490952955368
54,Weifen,1548,491.6,BF,RD,27,-19.8,OB,EA,"Zhang et al. , 2008a",1440,37.5,111,44,1956,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006661,NA,original Zhang et al data,2.9292107404393817
55,Willow  River,2860,820,CF,SD,-31.9,9.8,OB,SH,"Wei and Zhang, 2010",837,-122.5,54.2,50,1953,2003,PL,1,0,NA,NA,original Zhang et al data,1.0207317073170732
56,Wuding River watershed,30261,391,BF,RD,34,-26.5,OB,EA,"Li et al. , 2007",1493,37.99,109.85,40,1960,2000,AL,1,0,NA,NA,original Zhang et al data,3.8184143222506393
57,Xiangxi catchment,3200,1000,BF,RD,3.6,-0.7,NA,HM,"Bieger et al., 2015",1167,31.33,110.67,20,1987,2007,AL,1,0,NA,NA,original Zhang et al data,1.167
58,Xinancha watershed,2582,631,CF,RD,20,-22,OB,SH,"Yao et al.,2015",968,46.97,128.7,40,1970,2010,PL,1,0,NA,NA,original Zhang et al data,1.5340729001584785
59,Xingu River,377175,2100,BF,RD,-12,5,SG,HM,"Coe et al., 2009",1410,-7.46,-52.66,1,2000,2000,GE,1,0,NA,NA,original Zhang et al data,0.6714285714285714
60,Xinshui,4069,524.3,BF,RD,15,-22.5,OB,EA,"Zhang et al. , 2008a",1433,38,111,43,1957,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006662,NA,original Zhang et al data,2.733168033568568
61,Zhujia,2956,450.4,BF,RD,27,-38.6,OB,EA,"Zhang et al. , 2008a",1306,36,110,41,1959,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006663,NA,original Zhang et al data,2.899644760213144
62,"Alsea, Oreg , U.S.A,Deer Creek",3.03,2474,CF,SD,-25,7.9,OB,PWE,"Harris , 1973",947,44.55,-123.85,11,1959,1970,NA,1,0,"From Bosh and Hawlett, 1982 In 1966-1967 25% was clearcut",AL,original Zhang et al data,0.3827809215844786
63,"Alsea, Oreg , U.S.A,Needle Branch",0.71,2483,CF,SD,-82,32.6,OB,PWE,"Harris , 1977",937,44.533333,-123.883333,23,1950,1973,NA,1,0,"From Bosh and Hawlett, 1982 In 1966 82% clearcut and burned in 1967",AL,original Zhang et al data,0.3773660894079742
64,"Alum Creek, Ark., USA, WS2",0.01,1333,CF,SD,-45,69.9,OB,PWE,"Bosch and  Hewlett, 1982",1431,34.7906,-93.0246,4,1970,1974,NA,1,0,NA,GM,original Zhang et al data,1.0735183795948988
65,"Alum Creek, Ark., USA, WS3",0.01,1333,CF,SD,-100,147.7,OB,PWE,"Bosch and  Hewlett, 1982",1431,34.7906,-93.0246,4,1970,1974,NA,1,0,NA,GM,original Zhang et al data,1.0735183795948988
66,Anger Gutin settlement,109.5,1305,BF,RD,-41,9,OB,HM,"Haileyesus et al.,2011",1856,9.5754,36.6231,35,1972,2007,NA,1,0,NA,GM,original Zhang et al data,1.4222222222222223
67,April Rd.,2.48,1070,BF,RD,-100,167.7,OB,PWE,"Ruprecht and Schofield, 1989",1967,-33.32047,115.788243,3,1982,1985,NA,1,0,"This is Ruprecht and Schofield (1989). Paper says ""clearfelling"" so -100 rather than +100",AL,original Zhang et al data,1.8383177570093459
68,B. Berem 1,0.133,1900,BF,RD,-40,70.2,OB,PWE,"Bruijnzeel,1990",1447,2.766667,102.1,1,1979,1979,NA,1,0,"From Brujinzeel 1990, site 12, Bukit Berembun, Malaysia. Approximate location from Chappell 2005. Time period from Brujinzeel 1990, 1 year experiment. Abdul Rahim, N. (1988). Water yield changes after forest conversion to agricultural landuse in Peninsular Malaysia. Journal of Tropical Forest Science, 1: 67-84.https://www.jstor.org/stable/43594287",GM,original Zhang et al data,0.761578947368421
69,B. Berem. 2,0.308,1900,BF,RD,-33,37,OB,PWE,"Bruijnzeel,1990",1447,2.766667,102.1,1,1979,1979,NA,1,0,"From Brujinzeel 1990, site 12, Bukit Berembun, Malaysia. Approximate location from Chappell 2005. Time period from Brujinzeel 1990, 1 year experiment. Abdul Rahim, N. (1988). Water yield changes after forest conversion to agricultural landuse in Peninsular Malaysia. Journal of Tropical Forest Science, 1: 67-84.https://www.jstor.org/stable/43594287",GM,original Zhang et al data,0.761578947368421
70,B. Kirkton,6.85,2354,BF,RD,-20,10,OB,PWE,"Blackie,1993",537,56.347393,-4.469782,6,1983,1989,NA,1,0,Coordinates from GM as there is no map in the paper. Monachyle and Kirkton catchments with the reference gauge at Tulloch Farm,GM,original Zhang et al data,0.22812234494477485
71,B. Monachyle,7.7,2770,BF,RD,14,-2,OB,PWE,"Blackie,1993",682,55.11075,-3.629414,6,1983,1989,NA,1,0,Coordinates from GM as there is no map in the paper.,GM,original Zhang et al data,0.24620938628158845
72,Barratta,0.364,1705,BF,RD,-25,10.8,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,16,1983,1999,NA,1,0,"Original publication, cornish 1993 highlights that this is a clearing operation, so change in cover should be negative. Changed to -25\%",GM,original Zhang et al data,0.8838709677419355
73,Bauta,43.5,2038,BF,RD,10.2,-14.7,MD,HM,"Beck et al.,2013",1682,18.236,-66.455,28,1970,2000,NA,1,0,"catchment B, in Beck 2013 time was calculated considering landuse maps and data availability, USGS ID 034000. (1996–1998 were excluded)",PL,original Zhang et al data,0.8253189401373896
74,"Beaver  Creek,  AZ  #1",1.24,457,CF,SD,-100,0,OB,PWE,"Brown,1971",1431,34.574444,111.873611,6,1963,1969,NA,1,0,"Location determined as per map, using closer USGS station number 343428111511500 BEAVER CREEK AT MOUTH NR CAMP VERDE, AZ, Paper does not mention that is catchment #1",PL,original Zhang et al data,3.1312910284463893
75,"Beaver  Creek,  AZ  #3-1",1.46,451,CF,SD,-83,166.7,OB,PWE,"Bosch and Hewlett, 1982",510,35.139167,77.530278,5,1963,1968,NA,1,0,"not in the Hibbert reference  from Bosch and Hewlett (1982) exp number 73. Treatmment : 1968, 83% overstorey killed with herbicides
Location as USGS 350821077314903 JO-047 BEAVER CREEK RS 3
Found in Brown 1917 https://cedb.asce.org/CEDBsearch/record.jsp?dockey=0018342. Time of the study was assumed from Bosch and Hawlett 1982",GM,original Zhang et al data,1.130820399113082
76,"Beaver  Creek,  AZ  #3-2",1.47,426,CF,SD,-78,157,OB,PWE,"Baker,1984 and  1986",2252,34.672598,-111.667858,11,1958,1969,NA,1,0,"%Q says -157%, cound not find 599.1. Was found in Stednick et al 1996.  https://doi.org/10.1029/WR022i001p00067 and https://doi.org/10.1029/WR020i011p01639 Correct citation missing Baker, Jr., M.B., 1984. Changes in streamflow in an herbicide treated pinyon-juniper watershed in Arizona.
Water Resour. Res., 20: 1639-1642.
Baker, Jr., M.B., 1986. Effects of ponderosa pine treatments on water yield in Arizona. Water Resour. Res.,
22: 67-73.",GM,original Zhang et al data,5.286384976525822
77,Biesievlei,0.27,1400,BF,RD,98,-47.4,OB,PWE,"Bosch  and  Hewlett ,1982",1667,-33.9725,18.94888889,15,1948,1963,NA,1,0,"coordinates using Slingsby et al. 2021, DOI: 10.1002/hyp.14101. Time based on ""15 years"" in Bosch and Hewlett, 1982",AL,original Zhang et al data,1.1907142857142856
78,Black spur 1,0.17,1652,BF,RD,-50,26,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,8,1977,1985,NA,1,0,"only cited in watson 2000O. Cited in Brown 2005 as ’Shaughnessy et al. (1989), Jayasuriya and O’Shaughnessy (1988), doi:10.1016/j.jhydrol.2004.12.010. Jayasuriya and O’Shaughnessy (1988) is a conference paper from Hydrology and Water Resources Symposium. It indicates for Black Spur 1 50% patch cut. Chaged Delta_F_perc to -50%",GM,original Zhang et al data,0.7512106537530266
79,Black spur 2,0.96,1612,BF,RD,-60,28,OB,PWE,"Brown et al., 2005",1241,-37.503878,146.106764,7,1970,1977,NA,1,0,"only cited in watson 2001. Area is incorrect, 0.77 km2 corresponds to Black Spur 3 not number 2 (0.96 km2)
Found in Brown 2005 cited as Nandakumar (1993) and Watson et al. (1999, 2001) doi:10.1016/j.jhydrol.2004.12.010. Also checked the Jayasuriya & O’Shaughnessy 1988 conference paper,  which indicates this is also a clearing action.",GM,original Zhang et al data,0.7698511166253101
80,Blue  Mts.  OR  #1,0.14,1355,CF,SD,-30,0,OB,PWE,"Fowler et al. ,1987",1195,45.71685187,-118.1553033,6,1976,1982,NA,1,0,"Location based on statement: about 22 km northwest of Elgin and 8 km
southwest of the Spout Springs Winter Recreation Area in https://www.fs.fed.us/pnw/pubs/pnw_rn361.pdf",GM,original Zhang et al data,0.8819188191881919
81,Blue  Mts.  OR  #2,0.14,1355,CF,SD,-50,0,OB,PWE,"Fowler et al. ,1987",1195,45.71685187,-118.1553033,6,1976,1982,NA,1,0,"Location based on statement: about 22 km northwest of Elgin and 8 km
southwest of the Spout Springs Winter Recreation Area in https://www.fs.fed.us/pnw/pubs/pnw_rn361.pdf",GM,original Zhang et al data,0.8819188191881919
82,Blue  Mts.  OR  #3,0.14,1355,CF,SD,-100,0,OB,PWE,"Fowler et al. ,1987",1195,45.71685187,-118.1553033,6,1976,1982,NA,1,0,"Location based on statement: about 22 km northwest of Elgin and 8 km
southwest of the Spout Springs Winter Recreation Area in https://www.fs.fed.us/pnw/pubs/pnw_rn361.pdf",GM,original Zhang et al data,0.8819188191881919
83,Bollygum,0.151,1617,BF,RD,-32,48.3,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,16,1983,1999,NA,1,0,This should a decreas in forest cover rather than an increase.,GM,original Zhang et al data,0.9319727891156463
84,"Boreal Plain, Alberta",0.524,486,CF,SD,-51,0,OB,PWE,"Devito et al., 2005",529,56.63277778,111.7713889,4,1997,2001,NA,1,0,NA,PL,original Zhang et al data,1.0884773662551441
86,C. FM-N,0.03,1410,BF,RD,100,-49.5,OB,PWE,"Robinson et al. ,1991",870,47.8,12.433333,15,1970,1985,NA,1,0,Chiemsee experimental catchments. Approximate location from Farley 2005,GM,original Zhang et al data,0.6170212765957447
87,C. FM-S,0.03,1410,BF,RD,100,-65.1,OB,PWE,"Robinson et al., 1991",870,47.8,12.433333,15,1970,1985,NA,1,0,Chiemsee experimental catchments. Approximate location from Farley 2005,GM,original Zhang et al data,0.6170212765957447
88,Camp Creek,33.9,600,CF,SD,-30,21,OB,PWE,"Cheng, 1989",925,49.692989,-120.011314,12,1971,1983,NA,1,0,1971-1976 prelogging and 1978-1983 postlogging periods,GM,original Zhang et al data,1.5416666666666667
89,Canovanas,26.5,3422,BF,RD,26.9,-12.8,MD,HM,"Beck et al.,2013",1834,18.318,-65.889,32,1968,2000,NA,1,0,"catch G,USGS ID  061800",PL,original Zhang et al data,0.5359438924605494
90,Cantua,119,442,MF,RD,-23,0,OB,PWE,"Bart and Hope,2010",2067,36.40222222,-120.4325,5,1980,1984,NA,1,0,usgs coordinates,USGS,original Zhang et al data,4.676470588235294
91,Caramávida,94,1532,BF,RD,18.7,-6.9,OB,SH,"Iroumé and Palacios,2013",1053,-37.918453,-73.072947,30,1962,1992,NA,1,0,NA,GM,original Zhang et al data,0.6873368146214099
92,"Castle Creek, Ariz U S.A West Fork",3.64,639,CF,SD,-16.6,50.7,OB,PWE,"Rich and Thompson,1974",1591,38.583333,-109.25,17,1955,1972,NA,1,0,"Location from USGS 09075400 CASTLE CREEK AT ASPEN, CO",PL,original Zhang et al data,2.4898278560250393
93,"Cathedral ,Peak. South Africa CII",1.9,1400,BF,RD,74,-39.5,OB,PWE,"Nänni,1970",1446,-28.925207,29.134798,15,1950,1965,NA,1,0,Different sub catchment from 94,GM,original Zhang et al data,1.032857142857143
94,"Cathedral ,Peak. South Africa CIII",1.42,1400,BF,RD,84,-2,OB,PWE,"Bosch,1979",1589,-29,-29.25,8,1950,1958,NA,1,0,"Catchment 3, Different sub catchment from 94",PL,original Zhang et al data,1.135
95,"Central New York, U.S.A.: Sage Brook",1.81,974,MF,RD,47,19.8,OB,PWE,"Schneider and Ayer, 1961",975,42.53111111,-75.42527778,26,1932,1958,NA,1,0,Data from https://waterdata.usgs.gov/,GM,original Zhang et al data,1.0010266940451746
96,Chicken Cr.  UT,0.06,1900,BF,RD,-100,24.5,OB,PWE,"Johnston ,1984",1814,39.478939,-111.991207,4,1975,1978,NA,1,0,NA,GM,original Zhang et al data,0.9547368421052631
97,Cibuco,39.8,1827,BF,RD,31.4,11.1,MD,HM,"Beck et al.,2013",1811,18.352,-66.336,30,1970,2000,NA,1,0,"catch D, USGS ID 038320. All catchments from the study from Beck et al. 2014 should probably be removed from the database as the paper clearly indicates that there is no evidence of a change in flow due to reforestation. The values that are cited in the database should all be set to ""not significant from 0"", so might be included as 0. Including them wiht values is misleading.",PL,original Zhang et al data,0.9912424740010947
98,CNBL05,0.553,500,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009",1371,-33.36949398,149.0024497,8,1999,2007,NA,1,0,NA,GM,original Zhang et al data,2.742
99,CNBL07,0.554,500,CF,RD,-40.3,82.7,OB,PWE,"Webb et al., 2007",1371,-33.372397,149.002836,6,2001,2007,NA,1,0,NA,GM,original Zhang et al data,2.742
100,Coachwood,0.375,1549,BF,RD,-61,33.1,OB,PWE,"Cornish,1993",1507,-32.21152816,151.7277882,7,1983,1988,NA,1,0,"This treatment was a plantation establishment after logging. So the increase in flow is related to the removal of trees (-60%) and refers to the first five years in the treatment. See also Cornish and Vertessy, 2001.",GM,original Zhang et al data,0.972885732730794
101,Coalburn,1.5,1266,CF,RD,90,-20.3,OB,PWE,"Robinson ,1993",692,55.59242,-3.890822,17,1983,2000,NA,1,0,"Original publication (Robinson, 1993) which is asymposium paper, is not available. The best summary of the reseearch is in Birkinshaw et al. (2014) http://dx.doi.org/10.1016/j.jhydrol.2014.07.050 which summaries 45 years of resaerch in the Coalburn catchment. It was a reforestation experiment, and there was a decrease in the streamflow over the longer time period. Changed to -20.3\%",NA,original Zhang et al data,0.5466034755134281
102,Cold Spring Brook,3.91,1030,BF,RD,35,-27.9,OB,PWE,"Bosch  and  Hewlett ,1982",974,42.17383014,-75.40926227,1,1934,1934,NA,1,0,"Approximate location using original report (Schneider & Ayer 1961) and google maps Original report is actually Schneider & Ayer (1961) https://pubs.er.usgs.gov/publication/wsp1602 location from https://waterdata.usgs.gov/. Length from Bosch and Hewlett 1962. Confirmed that this reforestation, but this means that it is a reduction in flow so negative Delta_Q_f",GM,original Zhang et al data,0.945631067961165
103,Corkwood,0.411,1758,BF,RD,-40,38.6,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,3,1983,1985,NA,1,0,Should be -40% as treatment was logging with a regeneration burn. The time period includes regrowth. Not exactly a direct change in flow due to logging,GM,original Zhang et al data,0.8572241183162684
104,"Coshocton, Ohio, U.S.A.: 172. checked increase",0.18,970,BF,RD,70,-45,OB,PWE,"Harrold et al.,1962",1717,40.365833,81.804167,19,1938,1957,NA,1,0,"1938--1939, 70% reforested, mostly pine. Location as USGS 402157081481500 ARS WATERSHED 172 WEIR NR CHILI OH. Checked paper, should be a reduction in streamflow, not an increase.",PL,original Zhang et al data,1.770103092783505
105,Coweeta Basin,21.85,1795,BF,RD,-6,0,OB,PWE,"Brantley et al.,2015",1281,35.1,-83.716667,9,2003,2012,NA,1,0,Pre treatment 1937 - 2003 Post treatment 2004-2012,GM,original Zhang et al data,0.7136490250696379
106,"Coweeta, N.C,U.S.A,#1",0.16,1725,BF,RD,-100,20.3,OB,PWE,"Swank and Miner ,1968",1302,35.07777778,-83.43333333,11,1956,1967,NA,1,0,Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf,AL,original Zhang et al data,0.7547826086956522
107,"Coweeta, N.C,U.S.A,#10",0.86,1854,BF,RD,-30,2.3,OB,PWE,"Johnson and Kovner,1956",1306,35.059789,-83.430554,14,1942,1956,NA,1,0,". Treatment 1942--1956 30%, basal 25 mm average area cut by uncon- increase trolled logging
Aprox Location from USGS 350238083265904 MA-084 COWEETA RS CH-3 NR OTTO,NC",PL,original Zhang et al data,0.7044228694714132
