Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details,"Completed 1, Incomplete 0",Possible duplicate,Notes
65,"Alum Creek, Ark., USA, WS3",0.01,1333,CF,SD,-100,147.7,OB,PWE,"Bosch and  Hewlett, 1982",1431,34.7906,-93.0246,4,1970,1974,GM,1,,
210,March Rd.,2.48,1070,BF,RD,-100,147.6,OB,PWE,"Bari et al., 1996",1540,-34.4853,116.328787,9,1982,1991,GM,1,,"Ruprecht et al 1989 says ""clearfelling"", so the change in forestry should be -100 not +100. Bari et al. also says ""cleared""."
305,Workman  Cr.  AZ-4,1,813,CF,SD,-83,124.4,OB,PWE,"Rich and Gottfried, 1976",2087,33.78891256,-110.9638552,13,1967,1973,GM,1,,"these values are extracted from Hibbert and Gottfried (1987) but are summarised in the ""Study area"" section of the paper, suggested to be for 1967 - 1979 (13 years). This is for the ""South Fork"" part. This is repeated in the Stednick paper and is 62 in Bosch and Hewlett (1982). original publication is actually Rich and Gottfried (1976)"
252,S. TekamA,0.377,1880,BF,RD,-100,117,OB,PWE,"Bruijnzeel,1990",1466,3.865191,102.5316,1,1973,1973,,1,,Location from Google Maps
243,"Placer County, CA, USA,WS C",0.05,635,BF,RD,-99,106.2,OB,PWE,"Lewis,1968",1920,38.983333,-121.233333,6,1956,1962,AL,1,,
214,Monda 2,0.04,1813,BF ,RD,75,104,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1977,1996,GM,1,,
215,Monda 3,0.73,1763,BF ,RD,75,97,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1977,1996,GM,1,,
253,S. TekamB,0.592,1880,BF,RD,-60,85.3,OB,PWE,"Bruijnzeel,1990",1466,3.865191,102.5316,1,1973,1973,,1,,Location from Google Maps
312,Yerraminnup S.,2.7,850,BF,RD,60,83.3,OB,PWE,"Zhou et al., 2015",1254,-37.76,145.85,4,1982,1985,AL,1,,"Correct name is Yerraminnup S..There is no Yerrami S in Zhou et al. This is originally from Ruprecht and Schofield (1989), but they are citing a WA water resources report. Requested a copy of the original. Dates confirmed in the original"
99,CNBL07,0.554,500,CF,RD,-40.3,82.7,OB,PWE,"Webb et al., 2007",1371,-33.372397,149.002836,6,2001,2007,GM,1,,
280,Treated B,0.554,1080,CF,RD,-40.3,82.7,OB,PWE,"Webb, 2009",1358,-33.373992,148.997547,7,2001,2007,GM,1,,
189,Kimakia A,0.35,2014,BF,RD,-100,80.5,OB,PWE,"Bruijnzeel,1990",1458,-1.22,36.63,,,,GM,0,1,Duplicate from 188? Could not find evidence of 100% clearcut. It is stated in Blackie 1979 but does not have all the needed data
303,Workman  Cr.  AZ-2,1,813,CF,SD,-73,77.9,OB,PWE," Stednick, 1996",2087,33.79,-110.96,16,1967,1973,GM,1,1,"Another related to 260, Straight from Stednick 1996 paper as this result does not appear in Hibbert and Gottfried (1987) unless it is an interpretation of the storm flow). Seems to refer to North Fork dry site as in Bosch and Hewlett (1982) where they mention ""residual burned (total 73% cleared). "
167,Hansen,0.8,1200,BF,RD,-75,71.6,OB,PWE,"Ruprecht et al.,1991",1920,-33.117401,115.922311,3,1986,1988,AL,1,,
180,"Hubbard Brook, N H, USA, WS5",0.35,1219,BF,RD,-30,70.4,OB,PWE,"Hornbeck  et  al.,1970 ",938,43.859166,-71.731252,4,1965,1969,AL,1,,"This is Hornbeck 1970.  A whole-tree harvest was conducted during the dormant season of 1983-1984 resulting in the removal of 180 t/ha of biomass. Prior to treatment, the watershed was surveyed into 360 25 x 25 meter plots to be used for research. https://hubbardbrook.org/watersheds/watershed-5"
68,B. Berem 1,0.133,1900,BF,RD,-40,70.2,OB,PWE,"Bruijnzeel,1990",1447,2.766667,102.1,1,1979,1979,GM,1,,"From Brujinzeel 1990, site 12, Bukit Berembun, Malaysia. Approximate location from Chappell 2005. Time period from Brujinzeel 1990, 1 year experiment. Abdul Rahim, N. (1988). Water yield changes after forest conversion to agricultural landuse in Peninsular Malaysia. Journal of Tropical Forest Science, 1: 67-84.https://www.jstor.org/stable/43594287"
64,"Alum Creek, Ark., USA, WS2",0.01,1333,CF,SD,-45,69.9,OB,PWE,"Bosch and  Hewlett, 1982",1431,34.7906,-93.0246,4,1970,1974,GM,1,,
222,N. Fork-1,0.41,810,CF,SD,-36,69.8,OB,PWE,"Troendle and King, 1987",1165,39.84568491,-105.9236381,6,1978,1984,GM,1,,"reference should be: Troendle and King, 1987. coordinates guessed from google maps, struggling to find the estimated results in the actual paper"
182,Jackwood,0.125,1485,BF,RD,-79,69.1,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,16,1983,1999,GM,1,,
242,Pine Tree Branch,0.35,1230,BF,SD,-75,59.6,OB,PWE,"Bosch and Hewlett, 1982",1408,35.678013,-88.355614,20,1941,1961,GM,1,,"TVA 1961 is not in the references in Zhang et al. 2017, clearly this is from the secondary source Bosch & Hewlett (1982). Original reference (Forest cover improvement influences upon hydrologic characteristics of White Hollow watershed 1935--58. ) is not accessible. Location estimated from map in: 	
Reforestation and Erosion Control Influences Upon the Hydrology of the Pine Tree Branch Watershed, 1941 to 1960. TVA 1962: https://play.google.com/store/books/details?id=5_KM3kTtlGIC&rdid=book-5_KM3kTtlGIC&rdot=1 "
220,N.  Fork ,1,810,CF,SD,-32,59.3,OB,PWE,"Bosch and Hewlett, 1982",2087,33.79,-110.96,1,1958,1958,GM,1,1,"duplicate of 260, one single year according to Bosch and Hewlett (1982) Not in Hibbert 1979 Sierra Ancha, Ariz., U.S.A.: North Fork, Workman Creek"
260,"Sierra Ancha, Ariz., U.S.A.:North Fork, Workman Creek",1,813,CF,SD,-32,59.3,OB,PWE,"Hibbert, 1979",2087,33.78891256,-110.9638552,1,1958,1958,GM,1,0,"notf ound under this name in the Hibbert reference. However, this seems to come from Bosch and Hewlett (1982) and either is a single year response or a duplicate of 304. From Bosch and Hawlett 1982, treatment 1953, <1% cut (riparian vegetation), 1958, 32% cleared (moist site), grass seeded 1966--1969, 40% cleared (dry site) and residual burned (total 73% cleared). Single year response was considered"
121,"Coyote Creek, U S.A,#3",0.5,1230,CF,SD,-100,57.4,OB,PWE," Harr, 1976",1736,37.448998,-121.630539,5,1971,1976,GM,1,,"Source is not Miller et al 1988, it is Harr 1976. Time period not found in Harr 1976. 5 years assumed from  Bosch and Hawlett 1982, treatment: 1971, individual trees repwell: drained gravelly loam, resenting 50% of basal
150 cm deep area removed ; -+2%roads"
200,Luano,1.2,1400,BF,RD,-100,56,OB,PWE,"Bruijnzeel,1990",2209,-14.117072,30.163542,5,1964,1969,,1,,"Location from Google Maps. From Bruijnzeel,1990, five year study from 1964"
223,N. Fork-2,0.41,810,CF,SD,-40,55.8,OB,PWE,"Troendle and King, 1987",1165,39.85,-105.92,3,1978,1984,GM,1,1,"reference should be: Troendle and King, 1987, watershed is the same as 222, just a part called ""unit 8"" in the paper"
142,"Fernow Experimental Forest,  WV #6",0.22,1440,BF,RD,-50,54.9,OB,PWE,"Kochenderfer  et al.,1983 ",1089,39.063033,-79.668157,10,1970,1979,GM,1,,"There is not watershed 6, unless this is upper and lower basin numbered after 7 and 6"
164,"Grant Forest, Ga, USA, WS14",0.33,1219,BF,SD,-100,54.4,OB,PWE,"Hewlett,1979",1549,33.376192,-83.472635,1,1974,1975,GM,1,,"Catchment of study is W14 not W18. From Bosch and Hawlett et al 1982: treatment 1974/1975 100% clearcut, roller chopped twice, and pine planted by machine
Original soruce in this book. https://www.vgls.vic.gov.au/client/en_AU/VGLS-public/search/detailnonmodal?qu=Water+harvesting.&d=ent%3A%2F%2FSD_ILS%2F0%2FSD_ILS%3A25738%7EILS%7E0&ps=300"
109,"Coweeta, N.C,U.S.A,#17",0.14,1895,BF,RD,-100,53.4,OB,PWE,"Swank and Miner , 1968",1302,35.07777778,-83.43333333,11,1956,1967,AL,1,,"There is no ""Swank and Miner, 1966"" in the references, assuming this is also ""Swank and Miner, 1968"" Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf"
151,"Fool  Creek,  CO-1",2.89,760,CF,SD,-40,52.5,OB,PWE,"Troendle and  King,1985 ",1165,39.85,-105.92,30,1956,1983,GM,1,1,duplicate of 156 and 157?
304,Workman  Cr.  AZ-3,1,813,CF,SD,-40,52.3,OB,PWE,"Hibbert  and  Gottfried , 1987 ",2087,33.79,-110.96,11,1967,1973,GM,1,1,"related to 260. The results seem to differ between Rich and Gottfried (1976) and Hibbert and Gottfried. This result is Hibbert and Gottfried (1987). The result also appears in Stednick (1996). This is the ""dry site"" for North Fork. Time period based on Hibbert and Gottfried (1987)."
92,"Castle Creek, Ariz U S.A West Fork",3.64,639,CF,SD,-16.6,50.7,OB,PWE,"Rich and Thompson,1974",1591,38.583333,-109.25,17,1955,1972,PL,1,,"Location from USGS 09075400 CASTLE CREEK AT ASPEN, CO"
230,Oleolega catchment,0.63,1867,CF,RD,-85,50,OB,HM,"Waterloo et al.,2007",1575,-18.00416667,177.3522222,,1990,1992,AL,1,,"The paper suggests a change in cover of 85% and also a negative value, not a positive. It also is not totally clear how the delta Q is calculated, presumably from Table 4 in the paper. Ths study period is also very short"
268,Stringybark,1.4,906,BF,RD,-36,50,OB,PWE,"Webb and Jarrett,2013",1287,-37.33333333,149.5833333,8,1979,1987,PL,1,,time period to the first change point in Webb and Jarrett (2013)
239,Peppermint,1.275,906,BF,RD,-20,49.3,OB,PWE,"Webb and Jarrett,2013",1287,-37.33,149.58,7,1979,1986,AL,1,1,"see 240. 159, 160, 165, 239, 240 and 268 are all Yambulla state forest. The location details refer to the overall location not the individual catchments"
240,Peppermint,1.285,906,BF,RD,-39,49,OB,PWE,"Webb and Jarrett,2013",1287,-37.33,149.58,19,1987,2006,AL,1,1,This and 239 are the same catchment but two different logging events
83,Bollygum,0.151,1617,BF,RD,32,48.3,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,16,1983,1999,GM,1,,
179,"Hubbard Brook, N H, USA, WS2",0.16,1219,BF,RD,-100,48.3,OB,PWE,"Hornbeck  et  al.,1970 ",938,43.859166,-71.731252,1,1966,1967,AL,1,,"Clear-felling and herbiciding,1965-1968, Devegetated for three years, 1965-1967. In December 1965, all the trees and shrubs on Watershed 2 were felled and left in place. During the growing seasons of 1966, 1967 and 1968 the watershed herbicides were applied to prevent vegetation regrowth. https://hubbardbrook.org/watersheds/watershed-2"
233,"Ouachita, OK WS  #12 ",0.0591,1317,CF,RD,-100,45.5,OB,PWE, Miller 1988,1429,34.786948,-93.029589,4,1979,1983,USGS,1,,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest"
104,"Coshocton, Ohio, U.S.A.: 172",0.18,970,BF,RD,70,45,OB,PWE,"Harrold et al.,1962",1717,40.365833,81.804167,19,1938,1957,PL,1,,"1938--1939, 70% reforested, mostly pine. Location as USGS 402157081481500 ARS WATERSHED 172 WEIR NR CHILI OH"
207,"Maimai, New Zealand, M7",0.0414,2600,MF,RD,-100,43.3,OB,PWE,"Pearce et al.,1976",1121,-42.160676,171.735982,1,1977,1979,GM,1,,"The Pearce et al. 1976 paper is inaccessible https://agris.fao.org/agris-search/search.do?recordID=US201301255454. There are a series of other papers close to the date from the  associated group of authors: Pearce and Rowe (1979) https://www.jstor.org/stable/43944449; O'Loughlin et al. (1978) https://www.jstor.org/stable/43944421; Pearce et al. (1982) https://www.jstor.org/stable/43922025, however none of these mention M7 and M9  as study sites.  The main paper that actually covers the data is Pearce et al. (1980) (whihc is only available on Research Gate https://www.researchgate.net/publication/239573291_Effects_of_clearfelling_and_slash-burning_on_water_yield_and_storm_hydro-_graphs_in_evergreen_mixed_forests_western_New_Zealand). "
213,Monda 1,0.63,1876,BF ,RD,75,43,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1971,1996,GM,1,,
152,"Fool  Creek,  CO-2",2.89,635,CF,SD,-40,42,OB,PWE,"Troendle and  King,1985 ",1165,39.85,-105.92,30,1956,1983,GM,1,1,duplicate of 156 and 157?
137,"Fernow Experimental Forest,  WV #3-3",0.34,1500,BF,RD,-91,41.5,OB,PWE,"Patric,1971, 1980 ",1241,-37.5,146.11,8,1968,1976,GM,1,1,
108,"Coweeta, N.C,U.S.A,#13",0.16,1900,BF,RD,-100,40.7,OB,PWE,"Swift and Swan, 1981",1302,35.07777778,-83.43333333,23,1940,1963,AL,1,,"Better reference is Swift and Swank (1981) Hydrological Sciences Bulletin, 26:3, 245-256, DOI: 10.1080/02626668109490884. This is the journal paper based on the cited conference paper. Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf"
310,WS4 H.B.,0.36,1340,BF,RD,-33,40.7,OB,PWE,Hornbeck et al 1993,930,43.95484722,-71.72283611,4,1971,1974,GM,1,,"Hornbeck et al 1993. Hubbard Brook Experimental Forest, NH, Catchment 4"
170,HFW1,0.29,1220,BF,RD,-33,40,OB,PWE,"Boggs et al.,2015",1398,36.177915,-78.808557,7,2007,2013,GM,1,,coordinates addedfrom GM as Umstead Research Station
103,Corkwood,0.411,1758,BF,RD,40,38.6,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,16,1983,1999,GM,1,,
158,"Frazer. Colo, USA, Fool Creek",2.89,762,CF,SD,-40,38.5,OB,PWE,"Alexander and Watkins,1977; Troendle,1980",1165,39.85,-105.92,,,,,0,1,did not find the articles. Troendle 1980 does not exist in their citation. Alexander et al have the Same name as Alexander 195 but different edition. WV duplicate? Different time period?
295,"White Spar, Ariz., U.S.A, B",1,549,BF,RD,-15,38.2,OB,PWE,"Hibbert, 1971",2256,34.430856,-112.262636,6,1967,1973,GM,1,,"Misspelled. This is Whitespar watershed. Area called Three Bar experimental watersheds near Roosevelt Lake on Tonto National Forest as per https://www.fs.fed.us/psw/publications/documents/psw_gtr058/psw_gtr058_5a_hibbert.pdf, Catchment B in Hibbert 1971. Found in Bosch, J.M., Hewlett, J.D., 1982. Aproximate location from Google Maps. Period of time from Bosch and Hawlett and Hibbert et al 1982  Water Yield Changes Resulting From Treatment of Arizona Chaparral Orginally cited as Hibbert (1971,1979)"
219,Myrtle 2,0.305,1590,BF ,RD,74,38,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,12,1972,1984,GM,1,,In Watson et al 2001 it is Myrtle 2 not 4
302,Workman  Cr.  AZ-1,1,813,CF,SD,-32,37.2,OB,PWE,"Stednick,1996",2087,33.79,-110.96,7,1959,1966,GM,1,1,"Related to 260 In the Stednick 1996 paper (Table 1), this result appears also Table 1 in Bosch and Hewlett (1982) and averaging the 5 years post harvesting for ""North Fork"" ""moist site"" watershed #60, but it is also in Hibbert and Gottfried (1987), who cite Rich and Gottfried (1976) for the original data, In Hibbert and Gottfried, the time period is 1959 - 1966 (7 years)"
69,B. Berem. 2,0.308,1900,BF,RD,-33,37,OB,PWE,"Bruijnzeel,1990",1447,2.766667,102.1,1,1979,1979,GM,1,,"From Brujinzeel 1990, site 12, Bukit Berembun, Malaysia. Approximate location from Chappell 2005. Time period from Brujinzeel 1990, 1 year experiment. Abdul Rahim, N. (1988). Water yield changes after forest conversion to agricultural landuse in Peninsular Malaysia. Journal of Tropical Forest Science, 1: 67-84.https://www.jstor.org/stable/43594287"
122,Crotty Creek,1.221,1580,BF,RD,-50,36,OB,PWE,"Hawthorne et al.,2013",1259,-37.575575,145.630275,38,1970,2008,GM,1,,
208,"Maimai, New Zealand, M9",0.0826,2600,MF,RD,-75,36,OB,PWE,"Pearce et al.,1976",1121,-42.160676,171.735982,1,1977,1979,GM,1,,"The Pearce et al. 1976 paper is inaccessible https://agris.fao.org/agris-search/search.do?recordID=US201301255454. There are a series of other papers close to the date from the  associated group of authors: Pearce and Rowe (1979) https://www.jstor.org/stable/43944449; O'Loughlin et al. (1978) https://www.jstor.org/stable/43944421; Pearce et al. (1982) https://www.jstor.org/stable/43922025, however none of these mention M7 and M9  as study sites.  The main paper that actually covers the data is Pearce et al. (1980) (whihc is only available on Research Gate https://www.researchgate.net/publication/239573291_Effects_of_clearfelling_and_slash-burning_on_water_yield_and_storm_hydro-_graphs_in_evergreen_mixed_forests_western_New_Zealand). "
241,Picaninny Creek,0.528,1330,MF,RD,-100,36,OB,PWE,"Bren et al., 2010",1372,-37.680224,145.544785,28,1968,1996,GM,1,,
191,Kokota,0.974,1669,BF,RD,29,35.4,OB,PWE,"Cornish, 1993",1507,-32.21152816,151.7277882,7,1983,1990,GM,1,,
98,CNBL05,0.553,500,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009",1371,-33.36949398,149.0024497,8,1999,2007,GM,1,,
279,Treated A,0.553,1080,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009",1358,-33.373992,148.997547,9,1999,2007,GM,1,,
205,M5,0.0035,1987,CF,RD,-43.2,35.2,OB,PWE,"Dung et al.,2012",1265,34.35,136.4166667,2,2007,2009,AL,1,,
234,"Ouachita, OK WS  #14 ",0.0435,1317,CF,RD,-50,33.8,OB,PWE, Miller 1988,1429,34.786948,-93.029589,4,1979,1983,USGS,1,,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest"
172,"HJ Andrew,  OR  #1",0.96,2388,CF,SD,-100,33.6,OB,PWE,"Harr, 1976,1979",1217,44.231367,-122.176668,20,1953,1973,GM,1,,
100,Coachwood,0.375,1549,BF,RD,61,33.1,OB,PWE,"Cornish,1993",1507,-32.21152816,151.7277882,7,1983,1990,GM,1,,
211,Mbeya,0.202,1658,BF,RD,-50,33,OB,PWE,"Edwards and Blackie,1981",1433,-8.833333,33.466667,12,1957,1969,PL,1,,
175,"HJ Andrew,  OR #6 ",0.13,2150,CF,SD,-100,32.9,OB,PWE,"Harr, 1983",1217,44.232296,-122.176204,4,1963,1967,GM,1,,"not in Harr 1976, only HJA- 1 and HJA- 3, In Harr 1983. Time studty from Rothacher 1970"
63,"Alsea, Oreg , U.S.A,Needle Branch",0.71,2483,CF,SD,-82,32.6,OB,PWE,"Harris , 1977",937,44.533333,-123.883333,23,1950,1973,AL,1,,"From Bosh and Hawlett, 1982 In 1966 82% clearcut and burned in 1967"
227,"Needle  Branch, OR ",0.71,2480,CF,SD,-82,32.6,OB,PWE,"Stednick ,1996",937,44.53,-123.88,23,1950,1973,GM,1,1,Copy of #63?
267,Starvation Creek,31.47,1604,BF,RD,-84.1,32.6,OB,HM,"Zhou et al., 2015",1391,-37.76,145.85,17,1983,2007,GM,1,,"Different Zhou, Australian paper: Zhou, Y., Zhang, Y., Vaze, J., Lane, P., Xu, S., 2015. Impact of bushfire and climate variability on streamflow from forested catchments in southeast Australia. Hydrol. Sci. J., 1–21. Not PWE, but HM. Corrected."
117,"Coweeta, N.C,U.S.A,#6",0.09,1854,BF,RD,-80,32.1,OB,PWE,"Bosch  and  Hewlett,1982",1205,35.05,-83.583333,4,1970,1974,PL,1,,Point Location from the original report Swift and Swank (1980)
235,"Ouachita, OK WS  #15 ",0.0511,1317,CF,RD,-100,31.7,OB,PWE, Miller 1988,1429,34.786948,-93.029589,4,1979,1983,USGS,1,,"It is not Harr 1976, it is Miller 1988. Location from Google Maps as Alum Creek Experimental Forest"
265,"St.  Louis  Creek,  CO-2",2.89,712,CF,SD,-100,31.1,OB,PWE,"Alexander et  al., 1985 ",1246,39.9,-105.88,25,1955,1980,GM,1,1,"same experimental catchment 264 but forest area, it was difficult to determine exact period of time"
300,Willbob,0.856,1100,BF,RD,-30,31,OB,PWE,"Lane and Mackay, 2001",1404,-36.751291,149.627168,11,1986,1997,AL,1,,
232,"Ouachita, OK WS  #10",0.0574,1317,CF,RD,-50,30.9,OB,PWE," Miller, 1988",1491,34.431286,-94.552682,4,1979,1983,GM,1,,"Rothacher, 1970 study is in Cascade Range of Oregon, Data from Miller 1988"
226,"Natural Drainages, Ariz., U.S.A, C",0.05,452,BF,RD,-100,30.2,OB,PWE,Ingebo and Hibbert 1974,2701,32.740981,-111.548249,17,1954,1971,,1,,"From Boch and Hawlett 1982,  in 1954it was 100% chemically controlled. Data from Ingebo and Hibbert 1974. "
292,"Wagon  Wheel Gap,  CO-2",0.81,536,CF,SD,-100,29.9,OB,PWE,"Bates  and  Henry ,1928 ",1234,37.773441,-106.830938,7,1919,1926,GM,1,,
148,"Fernow Experimental Forest, USA,#6",0.22,1440,MF,RD,-50,28.8,OB,PWE,"Patric, J.H., Reinhart, K.G., 1974",1089,39.054246,-79.670001,5,1964,1969,GM,1,,"It should be Patric, J.H., Reinhart, K.G., 1974"
183,Jadan,296,850,BF ,RD,-6.8,28.5,OB,SH,"Molina et al.,2012",1156,-2.88697,-79.017008,5,1979 and 2005,1982 and 2007 ,GM,1,,
79,Black spur 2,0.96,1612,BF,RD,60,28,OB,PWE,"Brown et al., 2005",1241,-37.503878,146.106764,7,1970,1977,GM,1,,"only cited in watson 2001. Area is incorrect, 0.77 km2 corresponds to Black Spur 3 not number 2 (0.96 km2)
Found in Brown 2005 cited as Nandakumar (1993) and Watson et al. (1999, 2001)
doi:10.1016/j.jhydrol.2004.12.010"
102,Cold Spring Brook,3.91,1030,BF,RD,35,27.9,OB,PWE,"Bosch  and  Hewlett ,1982",974,42.17383014,-75.40926227,1,1934,1934,GM,1,,Approximate location using original report (Schneider & Ayer 1961) and google maps Original report is actually Schneider & Ayer (1961) location from https://waterdata.usgs.gov/. Lengh from Bosch and Hawlett 1962
254,Sambret,7,2130,BF,RD,54,27.7,OB,PWE,"Bruijnzeel,1990",1641,-0.36517,35.286034,1,1958,1958,,1,,"Found in Bruijnzeel,1990 under Kericho catchments. Same catchment as 187 different time study"
209,"Marcell ,MN #4",0.34,760,BF,RD,-100,27.3,OB,PWE,"Hornbeck et at. ,1993",899,47.533333,-93.466667,1,1970,1971,PL,1,,"Treatment:aspen-birch upland portion (26 ha) clearcut (all trees > 3 m height). Location from original source Verry, 1987 Verry, E.S., 1987. The effect of aspen harvest and growth on water yield in Minnesota. lASH AISH Publ., 167: 553-562"
195,Latrobe River,292.91,394,BF ,RD,-18.5,26.4,OB,HM,"Zhou et al., 2015",1292,-37.91,146.02,25,1983,2009,GM,1,,"Different Zhou, Australian paper: Zhou, Y., Zhang, Y., Vaze, J., Lane, P., Xu, S., 2015. Impact of bushfire and climate variability on streamflow from forested catchments in southeast Australia. Hydrol. Sci. J., 1–21. Not PWE, but HM. Corrected."
78,Black spur 1,0.17,1652,BF,RD,60,26,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001),1241,-37.503878,146.106764,4,1971,1976,GM,1,,"only cited in watson 2000O. Cited in Brown 2005 as ’Shaughnessy
et al. (1989), Jayasuriya and O’Shaughnessy (1988), doi:10.1016/j.jhydrol.2004.12.010"
159,Geebung,0.796,906,BF,RD,-34,24.7,OB,PWE,"Webb and Jarrett,2013",1287,-37.33,149.58,20,1987,2007,AL,1,1,"159, 160, 165, 239, 240 and 268 are all Yambulla state forest. The location details refer to the overall location not the individual catchments"
96,Chicken Cr.  UT ,0.06,1900,BF,RD,-100,24.5,OB,PWE,"Johnston ,1984",1814,39.478939,-111.991207,4,1975,1978,GM,1,,
173,"HJ Andrew,  OR #10",0.09,2320,CF,SD,-100,24.2,OB,PWE,"Harr, 1983",1217,44.232296,-122.176204,,1963,1967,GM,1,,"not in Harr 1976, only HJA- 1 and HJA- 3, In Harr 1983. Time studty from Rothacher 1970"
85,Bosbouk.,2.009,1296,BF,RD,80,23.6,OB,PWE,"Scott,1993",1687,-33.96,18.93,1,1986,1987,AL,1,1,"Bosboukloof, see also notes on 184 and Slingsby e al. 2021 DOI: 10.1002/hyp.14101  The Scott paper only analyses 1 year after fire"
250,Rimbaud,1.4,1164,BF,RD,-85,23.6,OB,PWE,"Lavabre et al.,1993",1454,43.066667,6.05,1,1990,1991,AL,1,,
236,"Ouachita, OK WS  #17 ",0.0415,1317,CF,RD,-50,23.1,OB,PWE,"Lewis,1968 ",1894,34.50021456,-94.5027165,6,1956,1962,AL,1,,
