Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,Farea_km2,Perc_Farea_pre,yearFarea,Comments,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Dryness
26,Lachlan River,8000,767,MF,RD,2320,29,NA,NA,2.8,-2.8,NA,HM,"van Dijk et al., 2007",1987,-33.24,146.42,10,1988,1998,GE,1,NA,NA,2.590612777053455
27,"M1, Canada",1140,844,CF,SD,969,85,nd,"Page 3 ""Forests (including treed wetlands) cover from 79
(M2) to 89% (L2) of basin area""",-18.9,0,OB,QPW,"Buttle and Metcalfe, 2000",1367,48.05,47.95,2,1996,1998,PL,1,NA,Median location,1.6196682464454977
28,Macquarie River,1400,764,MF,RD,420,30,NA,NA,2.6,-2.7,NA,HM,"van Dijk et al., 2007",2021,-31.6,147.79,11,1988,1999,GE,1,NA,NA,2.6452879581151834
29,Madeira River,906552,2000,BF,RD,314573.544,34.7,NA,"As protected
area (%)",-13,7,SG,HM,"Lima et al, 2014",1247,-6.84,-62.31,50,1950,2000,AL,1,NA,NA,0.6235
30,Meijiang-D,6983,1739,MF,RD,2506.897,35.9,2006,deforestation (1968–1984),-11,13,MD,SH,"Liu et al.,2015",1277,26.5,116,16,1968,1984,AL,1,NA,NA,0.7343300747556066
31,Meijiang-R,6983,1739,MF,RD,1738.7669999999998,24.9,1983,reforestation (1985–2006),46,-6,MD,SH,"Liu et al.,2015",1277,26.5,116,21,1985,2006,AL,1,NA,NA,0.7343300747556066
32,Miyun Reservoir catchment,15800,506.2,BF,RD,3539.2,22.4,2006,NA,16,-9.7,SG,HM,"Ma et al., 2010",1362,41,117,27,1956,1983,AL,1,NA,"name not found, it is Kejie watershed in the eastern Himalayas. Change citation to: https://doi.org/10.1016/j.jhydrol.2010.06.010""",2.690636112208613
33,Mores Creek,1033,850,CF,SD,433.86,42,2003,"Boise-Mores Creek Watershed Subbasin. Assessment and Total Maximum Daily Loads. Final. Department of Environmental Quality. June 2009.  https://www.deq.idaho.gov/ The subbasin is dominated by forest and grassland (GAP II 2003). ""Timber species make up approximately 42% of the vegetation cover.""",-12,6,OB,HM,"VanShaar et al., 2002",1701,43,-115,7,1986,1993,GE,1,NA,NA,2.001176470588235
34,Murray River,13000,1078,MF,RD,9230,71,nd,NA,1.3,-0.9,NA,HM,"Van Dijk et al., 2007",1727,-35.87,144.31,12,1988,2000,GE,1,NA,NA,1.6020408163265305
35,Murrumbidgee,15000,847,MF,RD,7350,49,nd,NA,2.2,-2.2,NA,HM,"Van Dijk et al., 2007",1880,-34.89,146.59,13,1988,2001,GE,1,NA,NA,2.219598583234947
36,Nam Pong catchment,12100,1050,BF,RD,9680,80,1957,NA,-53,0,OB,HM,"Wilk et al., 2001",1404,19.55,105.06,18,1970,1988,GE,1,NA,NA,1.3371428571428572
37,Negro River,582064,2680,BF,RD,NA,NA,NA,NA,-3,0,SG,HM,"Coe et al., 2009",1275,-8.12,-77.98,1,2000,2000,GE,1,NA,NA,0.47574626865671643
38,Puget Sound basin,30000,1800,MF,RD,23340,77.8,NA,1883,-10,6.8,SG,HM,"Cuo et al., 2009",1003,47.69,-122.06,119,1883,2002,AL,1,NA,NA,0.5572222222222222
39,Purus River,333480,2300,BF,RD,176410.92,52.9,NA,"As protected
area (%)",-3,1,SG,HM,"Lima et al, 2014",1221,-7.65,-66.36,51,1950,2001,AL,1,NA,NA,0.5308695652173913
40,Roda de Ter,1386,938,BF,RD,665.28,48,NA,1979,5,-12,OB,HM,"Gallart et al., 2011",1336,42.06,3,14,1979,1993,GE,1,NA,NA,1.4243070362473347
41,Sanchuan,4123,462.8,BF,RD,33,0.8,1957,increase 33 to 942 km2,33,-27,OB,EA,"Zhang et al. , 2008a",1386,37,111,43,1957,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006659,2.994814174589455
42,Shiwang,2327,536.6,BF,RD,1,0,1959,increase 1 to 223 km2,42,-19.1,OB,EA,"Zhang et al. , 2008a",1396,35,110,41,1959,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006660,2.601565411852404
43,Solim�es #10,1858883,2200,BF,RD,NA,NA,NA,NA,-6,1,SG,HM,"Coe et al., 2009",1260,-2.64,-66.32,1,2000,2000,GE,1,NA,cound not find location differences btw #5,0.5727272727272728
44,Solim�es #5,867257,2200,BF,RD,NA,NA,NA,NA,-8,2,SG,HM,"Coe et al., 2009",1260,-2.64,-66.32,1,2000,2000,GE,1,NA,cound not find location differences btw #10,0.5727272727272728
45,Suomo basin,2536,800,BF,SD,731,28.8,1970,"In the paper says that is hectares in Table 3, but calculating total area this value should be in km2",-9.5,20.8,OB,HM,"Chen et al., 2005",858,32.13,102.53,1,1970,1999,GE,1,NA,NA,1.0725
46,Talarn,1905,1003,MF,RD,651.5100000000001,34.2,1987,Land use maps indicate an increase in the forest cover in all sub-basins for the period 1987–2009,12.6,-25.7,SG,EA,"Buendia et al., 2016a",1310,42.4,1.13,44,1965,2009,GE,1,NA,other rivers,1.3060817547357926
47,Tapajet River,285072,2100,BF,RD,NA,NA,NA,NA,-20,4,SG,HM,"Coe et al., 2009",1335,-5.29,-56.93,1,2000,2000,GE,1,NA,"Wrong name, Tapaj�s river",0.6357142857142857
48,The upper reach of the Weihe River,106500,591.46,BF,RD,24777.9,23.3,2006,Afforestation are in km2 1997–2006 in Table 3,16.9,-18,OB,EA,"Zhao et al., 2013",1321,34.83,108.83,50,1958,2008,AL,1,NA,"Wrong spelled name, it is Wei River basin",2.233456193149156
49,Tocantins River,189048,2000,BF,RD,NA,NA,NA,NA,-58,26,SG,SH,"Costa et al., 2003",1601,-13,-48,35,1960,1995,AL,1,NA,NA,0.8005
50,Upper Tacuarembo,2097,1300,MF,RD,538.929,25.7,2002,NA,26,-22,OB,SH,"Silveira and Alonso,2009",1602,-31.53,-55.68,18,1975,1993,PL,1,NA,Manuel Diaz Basin,1.2323076923076923
51,Upper Zagunao River,2528,1072,CF,RD,808.96,32,1994,NA,-15.5,5,MD,SH,"Zhang et al., 2012",872,32,103,26,1970,1996,AL,1,NA,Situated on the Upper Minjiang River of Yangtze River basin,0.8134328358208955
52,Upstream Heihe river basin,11145,600,CF,RD,2340.45,21,1980,NA,12,8.6,MD,HM,"Wu et al.,2015",832,38,100,30,1980,2010,AL,1,NA,NA,1.3866666666666667
53,Victoria River,16000,829,MF,RD,6880,43,1956,NA,0.7,-0.7,NA,HM,"van Dijk et al., 2007",1258,-37.15,147.3,14,1988,2002,GE,1,NA,NA,1.517490952955368
54,Weifen,1548,491.6,BF,RD,5,0.3,1953,increase 5 to 263 km2,27,-19.8,OB,EA,"Zhang et al. , 2008a",1440,37.5,111,44,1956,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006661,2.9292107404393817
55,Willow  River,2860,820,CF,SD,NA,NA,NA,NA,-31.9,9.8,OB,SH,"Wei and Zhang, 2010",837,-122.5,54.2,50,1953,2003,PL,1,NA,NA,1.0207317073170732
56,Wuding River watershed,30261,391,BF,RD,10288.74,34,1996,NA,34,-26.5,OB,EA,"Li et al. , 2007",1493,37.99,109.85,40,1960,2000,AL,1,NA,NA,3.8184143222506393
57,Xiangxi catchment,3200,1000,BF,RD,2678.4,83.7,1987,NA,3.6,-0.7,NA,HM,"Bieger et al., 2015",1167,31.33,110.67,20,1987,2007,AL,1,NA,NA,1.167
58,Xinancha watershed,2582,631,CF,RD,516.4,20,nd,NA,20,-22,OB,SH,"Yao et al.,2015",968,46.97,128.7,40,1970,2010,PL,1,NA,NA,1.5340729001584785
59,Xingu River,377175,2100,BF,RD,NA,NA,NA,NA,-12,5,SG,HM,"Coe et al., 2009",1410,-7.46,-52.66,1,2000,2000,GE,1,NA,NA,0.6714285714285714
60,Xinshui,4069,524.3,BF,RD,14,0.3,1957,increase 14 to 630 km2,15,-22.5,OB,EA,"Zhang et al. , 2008a",1433,38,111,43,1957,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006662,2.733168033568568
61,Zhujia,2956,450.4,BF,RD,63,2.1,1959,increase 63 to 687 km2,27,-38.6,OB,EA,"Zhang et al. , 2008a",1306,36,110,41,1959,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006663,2.899644760213144
