Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details,"Completed 1, Incomplete 0",Possible duplicate,Notes
335,Ji-Parana,33000,1875,BF,RD,-50,0,OB,SH,Rodriguez et al. 2010,1289,-10.87,-61.94,22,1991,2004,AL,1,,precipitation varies between 1250 and 2500 mm
336,Brigalow C2,0.117,720,BF,RD,-100,100,OB,PWE,Thornton et al. 2007,2083,-24.81,149.8,25,1982,2003,GM,1,,"Cropping catchment, grassland catchment is C3, runoff % change estimate based on Table 4 in Thorton et al. 2007"
337,San Antonio,104,680,MF,RD,-32,0,OB,PWE,"Bart and Hope,2010",1695,35.9,-121.09,5,1972,1988,AL,1,,Another catchment in Bart and Hope that was for some reason not added originally. Coordinates from usgs
338,"M1, Canada",1140,895,CF,SD,18.9,0,OB,QPW,"Buttle and Metcalfe, 2000",746,49.68,-83.65,5,1985,1990,PL,1,,Mattawishkwia River at Hearst Point location from  https://www.r-arcticnet.sr.unh.edu/Points/Des4371.txt
339,Duqueco,1545,1700,BF,RD,15.19,-19.5,OB,SH,"Iroumé and Palacios,2013",1248,-37.55,-72.01,43,1962,2005,PL,1,,added
340,"Ocmulgee Macon, USA",5800,1200.650024,MF,RD,27.5,-9,,SH,"Trimble and Weirich, 1987",1567,32.84,-83.62,75,1900,1975,USGS,1,,"Data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Rainfall data from https://prism.oregonstate.edu/normals/"
341,"Oconee Milledgeville, USA",7640,1206.099976,MF,RD,27.5,-15,,SH,"Trimble and Weirich, 1987",1576,33.09,-83.21,71,1904,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich Rainfall data from https://prism.oregonstate.edu/normals/"
342,"Flint, USA",4790,1265.689941,MF,RD,25.7,-12,,SH,"Trimble and Weirich, 1987",1566,32.72,-84.23,63,1912,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich, location using gauge 02347500 near Carsonville, the Flint does not go through Culloden.Rainfall data from https://prism.oregonstate.edu/normals/"
343,"Oconee Greensboro, USA",2820,1250.229981,MF,RD,21.3,-21,,SH,"Trimble and Weirich, 1987",1535,33.72,-83.3,71,1904,1975,USGS,1,," data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich, for location used gauge 02218300 as original gauge location is probably now in Lake Oconee. Rainfall data from https://prism.oregonstate.edu/normals/"
344,"Chattahoochee at West Point, USA, ",9195,1353.550049,MF,RD,20,-7,,SH,"Trimble and Weirich, 1987",1491,32.89,-85.18,75,1900,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Rainfall data from https://prism.oregonstate.edu/normals/"
345,"Savannah at Augusta, USA",19450,1140.130005,MF,RD,15.4,-15,,SH,"Trimble and Weirich, 1987, ",1577,33.37,-81.94,75,1900,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/"
346,"Tallapoosa at Wadley AL, USA",4300,1390.76001,MF,RD,11.8,-5,,SH,"Trimble and Weirich, 1987",1467,33.12,-85.56,52,1923,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/"
347,"Chattahoochee at Norcross, USA",3030,1411.910034,MF,RD,11,-6,,SH,"Trimble and Weirich, 1987",1457,34,-84.2,73,1902,1975,USGS,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/"
348,"Saluda at Columbia, USA",6500,1214.23999,MF,RD,10.5,-16,,SH,"Trimble and Weirich, 1987",1589,34.01,-81.09,46,1929,1975,USGS,1,," data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/"
349,"Saluda at Silverstreet, USA",4200,1179.349976,MF,RD,9.7,-16,,SH,"Trimble and Weirich, 1987",1543,34.18,-81.73,39,1927,1966,GM,1,,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Gauge probably no longer exists.Rainfall data from https://prism.oregonstate.edu/normals/"
350,Coalburn catchment,1.5,1400,CF,RD,90,0,OB,SH,Birkinshaw et al. 2014 ,640,55.1,-2.48,38,1973,2011,GM,1,,from Filoso et al. 2017. page 564: no statistically significant trends were found in the annual discharge totals
351,Ganaraska River Basin,267,800,CF,RD,5.6,-21,OB,SH,Buttle 1994 ,919,44.04,-78.52,48,1945,1993,GM,1,,from Filoso et al. 2017. Change in runoff based on 100mm decline on 0.6 (runoff ratio)*800mm precip
352,Jialuhe river,1117,422,,RD,NA,-32,,SH,Huang and Zhang 2004,1483,38.29,110.15,22,1967,1989,AL,0,," from Filoso et al. 2017. This paper actually describes more than just reforestation, there are also other conservation practices, so not really valid"
353,Watershed 8 Tucker VA,0.19,1120,MF,RD,80,0,OB,SH,Lima et al. 1978,1060,39.13,-79.83,13,1958,1971,GM,1,,FOREST SERVICE RESEARCH PAPER NE-392 from Filoso et al. 2017
354,Watershed 9 Tucker VA,0.12,1120,MF,RD,80,0,OB,SH,Lima et al. 1978 ,1060,39.13,-79.83,13,1958,1971,GM,1,, FOREST SERVICE RESEARCH PAPER NE-392 from Filoso et al. 2017
355,Luchelemu catchment,13.3,1300,MF,RD,93,0,OB,SH,Mwendera 1994,2480,11.75,33.83,17,1961,1978,AL,1,, https://doi.org/10.1016/0378-1127(94)90159-7
356,Queens river,200,300,MF,RD,55,-40,MD,HM,Pitman 1978 ,1973,-25.75,28.23,23,1948,1971,AL,1,,from Filoso et al. 2017
357,Valtorto,0.097,1500.699559,MF,RD,-100,60,OB,PWE,Stoof et al. 2012 ,1350,40.1,8.57,2,2008,2010,AL,1,,https://hess.copernicus.org/articles/16/267/2012/. Rainfall and Et calculated as the average of the reported data in Table 3 in the paper
358,PE30 = Old-EsW,0.83,1507,BF,RD,-18.3,119,OB,PWE,"Almeida et al., 2016",1293,-30.5101,-54.1657,4,2011,2015,,,,"Monitored from 34 month before harvest, to 14 month after harvest. Pa & DQf calculated fron discharge in Table II (mm) (433-483)/483=-10%. E0 from Table III. "
359,PE100 = Young-EbW,0.8,1388,BF,RD,-65,348,OB,PWE,"Almeida et al., 2016",1293,-30.5069,-54.1679,4,2011,2015,,,,"Monitored from 34 month before harvest, to 14 month after harvest. Pa & DQf calculated fron discharge in Table II (mm) (459/424-248/1027)/(248/1027)=+85%. E0 from Table III. "
360,PE30 = Old-EsW,0.83,2039,BF,RD,18.3,0.7,OB,PWE,"Ferreto et al., 2020",1179,-30.5101,-54.1657,4,2014,2018,,,,Monitored 4 years after harvest and replanting. Also correcting Almeida´s %for is 30% of the 61% of eucalyptus area. Pa & E0 from Table 2
361,PE100 = Young-EbW,0.8,2039,BF,RD,65,-40,OB,PWE,"Ferreto et al., 2020",1179,-30.5069,-54.1679,4,2014,2018,,,,Monitored 4 years after harvest and replanting. Also correcting Almeida´s %for is 100% of the 65% of eucalyptus area. Pa & E0 from Table 2
